,Competition,Status,Home Team Name,Away Team Name,link
59,J1 League,matchday 20,Cerezo Osaka,Vissel Kobe,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509072
60,J1 League,matchday 20,Sagan Tosu,Nagoya Grampus,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509077
61,J2 League,matchday 23,Tochigi SC,Ventforet Kofu,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509343
62,J2 League,matchday 23,JEF Utd. Chiba,Zweig. Kanazawa,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509344
63,J2 League,matchday 23,Matsumoto Yama.,Mito HollyHock,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509345
64,J2 League,matchday 23,Kyoto Sanga,Albirex Niigata,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509346
65,J2 League,matchday 23,Júbilo Iwata,Monte. Yamagata,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509347
66,J2 League,matchday 23,Reno. Yamaguchi,Blaublitz Akita,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509348
67,J2 League,matchday 23,V-V. Nagasaki,Gir. Kitakyushu,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509349
68,Pepsi Max deild,matchday 13,ÍA Akranes,Valur,https://www.transfermarkt.com/spielbericht/index/spielbericht/3523514
69,Lengjudeild,matchday 12,Vestri,Thróttur,https://www.transfermarkt.com/spielbericht/index/spielbericht/3582236
70,Vysheyshaya Liga,matchday 16,FK Smorgon,Energetik-BGU,https://www.transfermarkt.com/spielbericht/index/spielbericht/3597176
71,Vysheyshaya Liga,matchday 16,Gomel,Rukh,https://www.transfermarkt.com/spielbericht/index/spielbericht/3597171
72,A Lyga,matchday 28,Hegelmann,Nevezis,-
73,USL Championship,matchday 13,Charlotte Ind.,NY Red Bulls II,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543654
74,USL Championship,matchday 13,Indy Eleven,Memphis 901,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543658
75,USL Championship,matchday 13,Pittsburgh,Loudoun United,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543663
